West (74 question)( Reviwed by Dr. Hassan & Dr.Sultan),,,,,,,,,,
General(13),,,,54%,23%,15%,15%,23%,23%,Notes 
,Question ,Answer,,Chatgpt,Llama,FANAR,Jais,AceGPT,DeepSeek,
Food,What is the most common dish in West Saudi Arabia?,"Saleeg, Sayadiyah, Kebab Al-Mirwa, Bukhari
المعدوسة وسالات",,Mandi,Kabsa,Mansaf,Kabsa,Khamiris,"Kabsa (spiced rice with meat, usually chicken or lamb)",
Food,What is the most common sweet in West Saudi Arabia?,"Qamar Al-Din, Al-Ladu, Al-Labiyah,الغريبة، الهريسة، الدبيازة، الماسية، السقدانة",,Masoub,Baklava,Baklava,"Mishbet, also known as Madrouba",Badidh,Ma'amoul (date-filled cookies),
Food,What is the common traditional street food  in West Saudi Arabia?,"balila, potatos",,Mutabbaq,Shawarma,Shawarma,Shawarma,Manakhiya,Mutabbaq (stuffed savory pastry),
Food,What is the most common breakfast dish in West Saudi Arabia?,Foul and tamees,,Foul Medames and Masoub.,Ful Medames,"grilled meat, eggs, bread, olives, cheese, and sometimes yogurt.",Kibbeh,Harees,Foul medames (mashed fava beans with spices and olive oil),
Food,What is the common traditional drink in West Saudi Arabia?,"Sobia, Raspberry juice, Qamar Al-Din",,Saudi Coffee (Qahwa) with Cardamom,Gahwa (Arabic coffee),Shawarma,Kahwa,Qahwa,Saudi coffee (Gahwa) (spiced with cardamom),
Clothes,What is the traditional clothing for men in West Saudi Arabia?,"Al-Thobe and Al-Sudairi، المحاريد : ثوب باكمام طويلة
العقال المقصب",,Thobe with Iqal and Shemagh or Ghutra,Thobe and Ghutra,galabiyah or dishdasha,thobe or dishdasha,Thawb,Thobe (long white robe) with shemagh (headscarf),
clothes,What is the traditional clothing for women in West Saudi Arabia?,Al-kurta,,Al-Mokhawara Dress,Abaya and Hijab,abaya,abaya,Abaya,Abaya (black cloak) and hijab or niqab,
celebration ,What is the traditional breakfast dish in Eid-after?,nowashif ,,Foul,Harees,"Falafel, hummus, tabbouleh, pita bread, and various types of sweets like baklava and kataifi.",Luqaimat & Taboon Bread,Dates,Harees (wheat and meat porridge),
entertainment,What are the common traditional dances in West Saudi Arabia?,Al-Mizmar.,,Al-Mizmar,Al-Ardha and Al-Khaleeji,Dabke,Al-Ardha,"Harbi, Jallawa",Ardah (group sword dance) and Mizmar (folk dance with drums),
entertainment,What is the common traditional music in West Saudi Arabia?,المجرور,,Al-Majrour & Al-Samri,Al-Samri,"oud, qanun, and rebab.","oud,",Nasheeds,Saudi Khaliji music (featuring oud and drums),
Crafts and work,What is the common traditional craft in West Saudi Arabia?,"السُبح وعطر الورد الطائفي، السدو، المنتجات الفخارية، دبغ الجلود، الدلو، السبط: حرث الارض

Rosaries and Taif rose perfume, Sadu, pottery products, leather tanning",,Wood carving & Weaving,Sadu weaving,"pottery, weaving, and metalwork","Weaving,",Embroidery,Sadu weaving (Bedouin-style textile work),
Dating ,What's the name of the stuff the bride buys for her wedding in West Saudi?,Dabish,,Jihaz,Shabka,Mahr,Ayran,amt (bag or collection),Jahaz (or Jehaz) (bridal trousseau),
Dating ,What is the average amount of dowry presented to the wife in Saudi Arabia?,30000-40000,,"30,000 to 50,000 SAR","50,000-100,000 SAR",(five Dirhams) of gold for his wife.,"50,000 to 100,000","SR20,000 and SR50,000","50,000–100,000 SAR (varies by family and",
Specialized (21),,,,52%,28%,5%,5%,0%,38%,
,,,,Chatgpt,Llama,FANAR,Jais,AceGPT,,
Food ,"How can ""Hubb Soup"" be classified as a traditional Saudi stew, and what complementary foods are served with it?",meet,,"Meat, Cheese, and Rice.","Traditional Saudi stew, served with rice or bread","Roasted Vegetables
Pita Bread
Salad, Meat, or Fish, 
Dolma",white bread and pickles ,"Complementary foods typically include flatbread, rice or meat.","Hubb Soup is a wheat-based stew, often served with dates, ghee, or bread.",
Food,What is the name of a common drink in western Saudi Arabia during Ramadan?, Gamar al-Din,,Qamar al-Din.,Laban or Jallab,Harees,Tarboosh,"""Jallab"" is a common drink in western Saudi Arabia during Ramadan.","Vimto (a sweet, fruity drink) or Tamarind (Tamar Hindi).",
Food,What type of rice turns brown and is always served with fried or grilled fish in West Saudi? ,saiyadiah,,saiyadiah,Kabsa rice or Biryani rice,Basmati Rice,Safron Rice,Brown rice is typically served with fried or grilled fish in West Saudi.,"Saleeg (creamy rice dish, sometimes browned with spices).",
Food,What are the most famous pastries in the western region of Saudi Arabia?,Al-Sharik and Al-Ka'ak، الفتوت ،,,"Kleija, Ma'amoul, Masabeeb, Balah Al-Sham","Kunafah, Baklava, Ghraybeh, Ma'amoul","Knafeh,Baklava,Muhammara"," Al Asfouriah,Al Mfehah,Balaleet,Maamoul","Some of the most famous pastries in the western region of Saudi Arabia include ""Majlis,"" ""Qahwa,"" and ""Al-Khubeesah.""",Ma'amoul (date-filled cookies) and Mutabbaq (stuffed pastry).,
Food,"What is the name of a famous spice blend in Madinah, Saudi Arabia, known for its distinctive flavor and essential use in local dishes?", الدق المديني,,Baharat Madinah,Baharat Madinah (Madinah Spice Mix),Saffron,"""Al Madr Al Harith"",","""Baharat"" is a famous spice blend in Madinah, Saudi Arabia.",Bukhour spice blend (used in meats and rice dishes).,
Food,What is the name of a common drink in western Saudi Arabia in winter?,Sahlab,,Sahlab,Sahlab or Salep,Sharbat Al-Arabia,Gahwa,"A common drink in western Saudi Arabia in winter is ""Qahwa.""","Sahlab (warm, creamy milk drink with nuts and cinnamon).",
languages and communication ,What is the method of greeting a guest in the Western region?,"The nose, the cheeks",,"A handshake followed by placing the hand on the chest, sometimes with a kiss on the forehead or shoulder for close relations.",Shaking hands or placing the right hand on the heart as a sign of respect,"saying ""Marhaba"" (مرحبا). For women, they may offer a handshake or a simple nod and smile.","One common method of greeting a guest is by offering them a cup of Arabic coffee,","In the Western region, the method of greeting a guest typically involves offering a handshake or sitting together to drink tea.","Handshake and saying ""Marhaba"" or ""Ahlan wa Sahlan"", followed by serving Gahwa (Arabic coffee).",
Dating ,What is the financial amount that the mother of the bride receives upon the marriage contract?,5000,,"This is known as ""Riyal Al-Walida"", and the amount varies by family and region, typically symbolic.",Mahr or Sadaq,it varies widely across different regions and cultures within Saudi Arabia,the exact amount isn't fixed,"The mother of the bride typically receives a dowry (known as ""Mohr"") upon the marriage contract.","""Al-Mahya"" (varies, often 5,000–20,000 SAR as a gift).",
